BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,26176,85.0,1259456.0,39.59,89
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,1.0,0,37740,1.0,7291418.0,68.16,89
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,26000,,3895403.0,120.26,54
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,23241,60.0,777915.0,20.86,6
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,155795,,17979460.0,219.88,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,21018,,1737596.0,26.72,13
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,30533,,6015128.0,183.51,17
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,33971,,19061780.0,570.98,54
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,40600,,2464720.0,45.22,23
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,0,38038,81.0,2112095.0,14.72,16
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,24596,40000,93.0,2255263.0,62.98,8
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,6062,35404,1.0,9621807.0,255.61,87
NonResidential,Large Office,LAKE UNION,1.0,6.0,100800,29910,92.0,7359802.0,87.73,2
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,0,35780,1.0,2316441.0,16.15,89
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4.0,7308,17824,51.0,504439.0,3.52,51
Nonresidential COS,Other,DOWNTOWN,1.0,1.0,0,49680,,3289053.0,148.02,49
Nonresidential COS,Other,DOWNTOWN,1.0,1.0,0,36314,,2657625.0,83.27,53
NonResidential,Other,DOWNTOWN,1.0,2.0,0,25920,,1367815.0,9.54,99
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,47686,81.0,1781063.0,65.75,96
NonResidential,Other,DOWNTOWN,1.0,7.0,0,44928,,413919.0,4.43,111
NonResidential,Other,DOWNTOWN,1.0,3.0,0,49760,,24126.0,0.17,115
Campus,Mixed Use Property,DOWNTOWN,1.0,2.0,0,49280,,4217108.0,93.21,115
Campus,Restaurant,DOWNTOWN,1.0,2.0,0,25380,,7003615.0,224.63,103
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,0,40715,,2917748.0,48.6,100
NonResidential,Mixed Use Property,DOWNTOWN,1.0,4.0,34800,47265,93.0,1679127.0,11.71,25
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,36160,37.0,2071600.0,14.44,105
NonResidential,Mixed Use Property,DOWNTOWN,1.0,1.0,0,34617,,5039523.0,134.71,97
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,48600,100.0,1544117.0,14.51,106
NonResidential,Mixed Use Property,DOWNTOWN,1.0,3.0,0,29340,,2154224.0,75.89,105
NonResidential,Other,DOWNTOWN,1.0,2.0,0,22710,,278741.0,1.94,85
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,13540,36959,17.0,3030041.0,21.28,15
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,5.0,9605,44860,68.0,3721129.0,49.16,51
NonResidential,K-12 School,EAST,1.0,2.0,0,45960,58.0,4075193.0,175.62,85
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,2.0,0,21128,85.0,684865.0,4.77,56
NonResidential,Mixed Use Property,LAKE UNION,1.0,4.0,105499,168943,,9049598.0,221.09,7
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,51552,,1328920.0,9.26,2
NonResidential,Hotel,LAKE UNION,1.0,4.0,0,38520,45.0,2361960.0,51.64,56
NonResidential,Hotel,LAKE UNION,1.0,3.0,4256,24930,91.0,967697.0,32.9,54
NonResidential,Worship Facility,LAKE UNION,1.0,1.0,0,27338,65.0,526059.0,3.67,55
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,34416,1.0,10975751.0,358.91,53
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,45864,89.0,3043767.0,135.56,85
NonResidential,K-12 School,NORTHWEST,1.0,2.0,0,49252,7.0,3886929.0,93.23,16
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,33176,89.0,1429196.0,36.62,28
NonResidential,Retail Store,LAKE UNION,1.0,3.0,3764,21430,,1468882.0,37.72,22
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,75605,83.0,2199689.0,43.08,15
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,29525,55.0,1688739.0,36.12,7
NonResidential,Worship Facility,GREATER DUWAMISH,1.0,99.0,0,21948,54.0,318205.0,2.22,38
NonResidential,Other,EAST,1.0,3.0,0,31191,,5975230.0,173.05,88
SPS-District K-12,K-12 School,NORTH,1.0,1.0,0,42292,72.0,2255905.0,80.99,61
NonResidential,Other,NORTH,1.0,1.0,0,37377,,2767381.0,98.22,68
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,29380,30.0,841381.0,5.87,38
NonResidential,Worship Facility,EAST,1.0,2.0,0,22688,89.0,298063.0,5.28,93
NonResidential,Other,SOUTHEAST,1.0,2.0,0,22364,,1289073.0,44.15,53
NonResidential,Warehouse,SOUTHEAST,1.0,1.0,0,27435,49.0,1231546.0,36.72,63
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,41262,86.0,1810353.0,12.62,33
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,2.0,0,43183,1.0,7542332.0,92.3,62
NonResidential,Worship Facility,NORTH,1.0,3.0,0,45680,81.0,1988784.0,82.66,107
NonResidential,Senior Care Community,LAKE UNION,1.0,14.0,71790,652358,12.0,36863348.0,900.39,9
NonResidential,Worship Facility,SOUTHWEST,1.0,1.0,0,23562,95.0,550767.0,3.84,58
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,4.0,0,28844,,926923.0,6.46,16
SPS-District K-12,K-12 School,DELRIDGE,1.0,2.0,0,50701,77.0,1921222.0,13.39,27
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,21101,,562617.0,19.35,26
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,2.0,0,45594,83.0,1272821.0,8.87,101
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,26660,,2257181.0,15.74,65
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,28126,48.0,831577.0,17.72,40
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,35000,49.0,400054.0,2.79,51
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,26150,27.0,752991.0,19.25,53
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,24000,77.0,1031081.0,7.19,48
NonResidential,K-12 School,EAST,1.0,5.0,0,40809,34.0,2785058.0,79.28,47
NonResidential,Other,EAST,1.0,2.0,0,85750,,1592817.0,54.55,16
NonResidential,K-12 School,EAST,1.0,1.0,0,83882,72.0,2539565.0,64.95,110
NonResidential,Distribution Center,LAKE UNION,1.0,1.0,0,28080,,615573.0,12.0,103
NonResidential,Senior Care Community,NORTHWEST,1.0,2.0,0,51298,81.0,6297193.0,239.17,61
NonResidential,Worship Facility,NORTHWEST,1.0,1.0,0,22047,100.0,239873.0,1.67,53
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,31600,2.0,3113412.0,88.53,36
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,35289,52.0,821046.0,15.43,8
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,28920,47.0,1773880.0,82.28,34
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22176,78.0,499887.0,21.85,37
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,31300,91.0,304248.0,6.71,37
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22000,11.0,731092.0,5.1,36
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,3.0,0,39927,43.0,3393302.0,23.66,41
NonResidential,Other,NORTH,1.0,1.0,0,30610,,4467292.0,143.45,36
NonResidential,Medical Office,NORTH,1.0,2.0,6350,20580,62.0,1062109.0,7.4,35
NonResidential,Medical Office,NORTH,1.0,2.0,0,38745,57.0,2808160.0,46.03,47
NonResidential,Self-Storage Facility,NORTHEAST,1.0,2.0,0,20296,,855393.0,5.96,56
NonResidential,Mixed Use Property,NORTHEAST,1.0,2.0,0,22135,,1261963.0,25.29,70
NonResidential,Medical Office,NORTHEAST,1.0,3.0,0,38378,85.0,1662723.0,50.15,48
NonResidential,Warehouse,NORTHEAST,1.0,2.0,0,33576,22.0,2069880.0,72.71,35
NonResidential,Supermarket/Grocery Store,NORTHEAST,1.0,1.0,0,33005,20.0,11007235.0,240.79,40
NonResidential,Other,EAST,1.0,1.0,0,20971,,2323265.0,16.2,34
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,23910,,870046.0,13.35,88
NonResidential,Worship Facility,BALLARD,1.0,2.0,0,21765,73.0,490743.0,19.79,105
Campus,College/University,EAST,39.0,2.0,0,2200000,,115080128.0,3232.23,76
NonResidential,Worship Facility,CENTRAL,1.0,2.0,0,26560,1.0,1941086.0,76.89,114
NonResidential,Warehouse,LAKE UNION,1.0,2.0,0,20140,24.0,165472.0,1.15,58
NonResidential,Worship Facility,SOUTHEAST,1.0,2.0,0,22029,100.0,91996.0,0.64,88
NonResidential,Retail Store,GREATER DUWAMISH,1.0,2.0,0,38845,84.0,6454983.0,193.87,23
NonResidential,Supermarket/Grocery Store,GREATER DUWAMISH,1.0,1.0,0,26092,48.0,7067404.0,145.57,62
SPS-District K-12,K-12 School,NORTH,1.0,1.0,0,38582,88.0,1729493.0,60.79,60
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,25500,85.0,1207866.0,49.55,48
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,41895,,1412993.0,30.57,54
NonResidential,Retail Store,GREATER DUWAMISH,1.0,2.0,0,56193,38.0,2474457.0,45.68,57
NonResidential,K-12 School,BALLARD,1.0,3.0,0,35448,93.0,1657201.0,75.48,93
NonResidential,Supermarket/Grocery Store,BALLARD,1.0,1.0,0,29214,13.0,8739511.0,182.11,49
NonResidential,Supermarket/Grocery Store,BALLARD,1.0,1.0,43035,46068,32.0,13943008.0,357.52,15
NonResidential,Other,BALLARD,1.0,1.0,0,32000,,1136405.0,39.73,54
NonResidential,Mixed Use Property,BALLARD,1.0,2.0,0,31140,,912592.0,38.56,105
NonResidential,Warehouse,BALLARD,1.0,3.0,0,41478,2.0,3234871.0,88.54,40
NonResidential,Warehouse,BALLARD,1.0,1.0,0,39840,2.0,827937.0,5.77,35
Nonresidential COS,Other,BALLARD,1.0,1.0,15576,15000,,1241865.0,21.3,11
NonResidential,Other,BALLARD,1.0,2.0,0,21528,,297715.0,6.31,91
NonResidential,Other,BALLARD,1.0,2.0,0,30000,,1140620.0,12.63,87
NonResidential,Other,BALLARD,1.0,2.0,0,30087,,5227992.0,36.45,73
NonResidential,Worship Facility,BALLARD,1.0,1.0,0,84595,44.0,1417778.0,41.06,40
NonResidential,Retail Store,BALLARD,1.0,1.0,0,23500,48.0,1152890.0,10.97,19
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,2.0,0,37448,88.0,2547582.0,45.9,36
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,3.0,0,24913,100.0,238255.0,3.59,112
NonResidential,Retail Store,BALLARD,1.0,1.0,0,22420,79.0,1482752.0,33.54,48
NonResidential,Supermarket/Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,25842,19.0,9501494.0,253.53,54
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,26389,,1140137.0,7.95,23
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,25859,82.0,957632.0,15.6,33
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,25600,1.0,1631031.0,34.81,41
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,23169,,234144.0,1.63,50
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,8399,33385,86.0,1380283.0,9.62,7
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,56884,74.0,1261725.0,34.92,55
NonResidential,Retail Store,BALLARD,1.0,1.0,0,32810,66.0,1983755.0,45.07,26
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,30989,,95544.0,0.67,35
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,39952,,53401.0,0.37,100
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,20022,80.0,662785.0,4.62,54
NonResidential,Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,36498,85.0,507947.0,12.26,55
NonResidential,Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,35946,,444458.0,10.56,47
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,5680,24472,97.0,766628.0,5.39,8
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,0,22365,95.0,433443.0,3.02,36
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,0,30172,78.0,965091.0,6.73,21
NonResidential,Warehouse,BALLARD,1.0,4.0,0,42500,100.0,226375.0,1.58,88
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,4.0,0,23032,,1158000.0,8.07,114
NonResidential,Other,BALLARD,1.0,3.0,4914,40836,,6569660.0,271.68,115
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,2.0,0,23500,28.0,1641546.0,33.17,47
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,1.0,0,22282,92.0,529806.0,12.75,49
NonResidential,Self-Storage Facility,BALLARD,1.0,2.0,0,24000,,342493.0,11.22,113
NonResidential,Mixed Use Property,BALLARD,1.0,3.0,0,27085,,1960558.0,57.41,106
Nonresidential COS,Other,NORTH,1.0,2.0,0,29258,,7482832.0,278.47,19
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,2.0,0,37500,60.0,2105835.0,36.78,84
NonResidential,K-12 School,NORTHWEST,1.0,3.0,0,23983,59.0,1176615.0,34.03,85
NonResidential,Distribution Center,DELRIDGE,1.0,1.0,0,24100,30.0,642052.0,22.37,35
NonResidential,Worship Facility,SOUTHWEST,1.0,1.0,0,23772,89.0,282898.0,1.97,44
NonResidential,K-12 School,NORTHEAST,1.0,2.0,0,31343,4.0,4034028.0,138.37,11
NonResidential,Mixed Use Property,NORTHWEST,1.0,3.0,22850,33062,58.0,2882757.0,20.1,19
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,20294,,1369190.0,49.01,58
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,10849,29722,52.0,1481017.0,10.32,32
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,15659,26048,18.0,1790120.0,12.48,32
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,54988,,2085349.0,35.35,55
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,39497,8.0,1795049.0,32.34,60
Nonresidential COS,Other,EAST,1.0,1.0,0,33087,,3322250.0,117.04,83
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,2.0,0,27574,76.0,1160989.0,8.09,33
NonResidential,Retail Store,NORTH,1.0,1.0,0,24982,89.0,702385.0,4.9,50
NonResidential,Senior Care Community,NORTH,1.0,5.0,10226,33435,4.0,3922066.0,83.35,17
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,3.0,27307,48798,87.0,2709429.0,18.89,28
NonResidential,Mixed Use Property,NORTH,1.0,2.0,0,32009,,1972156.0,41.85,63
NonResidential,Retail Store,NORTH,1.0,1.0,0,41615,63.0,2063212.0,14.38,49
NonResidential,Medical Office,NORTH,1.0,3.0,0,28841,61.0,1334876.0,27.99,27
NonResidential,Self-Storage Facility,NORTH,1.0,2.0,0,33344,,114892.0,0.8,38
Nonresidential COS,Other,NORTH,1.0,1.0,0,30498,,2566219.0,83.88,10
NonResidential,K-12 School,DELRIDGE,1.0,2.0,0,42975,86.0,1093653.0,48.99,91
NonResidential,Other,DELRIDGE,1.0,1.0,0,23260,,1609444.0,49.99,52
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,2.0,0,30659,9.0,3580035.0,76.48,27
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,27144,,939840.0,30.06,95
NonResidential,Other,NORTHWEST,1.0,1.0,0,23166,,3294645.0,174.98,45
NonResidential,Medical Office,NORTHWEST,1.0,2.0,0,34759,71.0,1410266.0,9.83,36
NonResidential,Hospital,NORTHWEST,1.0,1.0,0,415632,88.0,94178648.0,3044.63,49
NonResidential,Worship Facility,NORTHWEST,1.0,2.0,0,44719,,1536287.0,47.6,50
NonResidential,Supermarket/Grocery Store,GREATER DUWAMISH,1.0,1.0,0,21603,16.0,5807879.0,119.57,50
NonResidential,Medical Office,EAST,1.0,3.0,0,591981,61.0,104977248.0,3321.02,51
NonResidential,Distribution Center,DELRIDGE,1.0,1.0,0,42900,60.0,390726.0,2.72,36
Nonresidential COS,Other,DELRIDGE,1.0,1.0,0,57952,,3105001.0,93.47,10
NonResidential,Other,DELRIDGE,1.0,1.0,0,26232,,2874181.0,112.13,44
NonResidential,Warehouse,DOWNTOWN,1.0,2.0,0,25840,92.0,311939.0,2.17,59
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,1.0,0,45145,100.0,1119906.0,36.65,27
NonResidential,Medical Office,DOWNTOWN,1.0,4.0,23086,20727,76.0,1798899.0,12.54,20
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,22095,48237,87.0,2074152.0,20.53,14
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,1.0,0,50546,97.0,971308.0,6.82,44
NonResidential,Supermarket/Grocery Store,BALLARD,1.0,1.0,0,45522,18.0,13010578.0,349.47,21
NonResidential,Retail Store,NORTHWEST,1.0,2.0,0,20088,,336461.0,2.35,36
Campus,Other,GREATER DUWAMISH,1.0,2.0,0,138907,,7657568.0,172.41,26
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,40657,54.0,2920918.0,24.36,18
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20200,,265874.0,2.03,115
NonResidential,Small- and Mid-Sized Office,EAST,1.0,7.0,20824,33548,90.0,1563640.0,10.9,45
NonResidential,Other,EAST,1.0,1.0,0,47699,,12236144.0,609.68,64
NonResidential,Other,EAST,1.0,0.0,0,274568,,25246386.0,1114.43,70
NonResidential,Small- and Mid-Sized Office,EAST,1.0,3.0,0,21282,69.0,1228041.0,60.88,59
NonResidential,Other,SOUTHEAST,1.0,2.0,0,41022,,3857679.0,26.89,94
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,3.0,12990,20590,88.0,695803.0,4.85,30
NonResidential,Warehouse,NORTH,1.0,1.0,0,21936,99.0,145573.0,4.55,38
NonResidential,Other,NORTH,1.0,1.0,0,30160,,1187723.0,48.1,46
NonResidential,Mixed Use Property,DOWNTOWN,1.0,11.0,0,111137,,9191826.0,256.72,106
NonResidential,Other,DELRIDGE,1.0,1.0,0,40189,,2046914.0,65.13,18
NonResidential,Other,DELRIDGE,1.0,2.0,0,28109,,2298648.0,28.03,49
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,2.0,0,66484,69.0,3053785.0,21.29,27
NonResidential,Small- and Mid-Sized Office,EAST,1.0,3.0,0,25151,77.0,1543147.0,68.78,56
NonResidential,Hotel,EAST,1.0,6.0,0,35770,59.0,2601945.0,111.95,87
NonResidential,Hotel,EAST,1.0,9.0,0,48006,95.0,2363705.0,68.26,87
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,0,29631,,4367202.0,103.23,55
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,2.0,0,23472,,1058986.0,16.18,26
Nonresidential COS,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,21315,34.0,2788860.0,110.43,42
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,15812,41298,71.0,2103293.0,24.49,31
NonResidential,Restaurant,SOUTHWEST,1.0,2.0,0,20398,,9085108.0,326.65,113
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,41308,20.0,1588231.0,36.35,63
NonResidential,Mixed Use Property,DOWNTOWN,1.0,3.0,0,43878,,739662.0,5.16,102
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,34976,,801264.0,11.39,103
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,38255,13.0,925097.0,29.92,58
Campus,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,260241,,32675250.0,553.99,60
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,48924,77.0,2023197.0,49.63,26
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,18036,32297,91.0,1477321.0,10.3,56
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,21906,35526,,2498684.0,17.42,29
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,7956,17956,,615894.0,4.29,46
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,21908,35224,61.0,2286622.0,15.94,15
NonResidential,Worship Facility,DELRIDGE,1.0,2.0,0,24224,41.0,1064745.0,27.76,58
NonResidential,Worship Facility,DELRIDGE,1.0,1.0,0,23706,77.0,398357.0,12.5,52
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,31900,,1090032.0,7.6,52
NonResidential,Other,SOUTHWEST,1.0,1.0,0,49066,,3819263.0,176.47,98
NonResidential,Worship Facility,SOUTHWEST,1.0,3.0,0,30740,,1573701.0,55.7,63
NonResidential,Supermarket/Grocery Store,SOUTHEAST,1.0,1.0,0,67450,1.0,10851443.0,256.84,56
SPS-District K-12,K-12 School,BALLARD,1.0,1.0,0,39971,94.0,1499128.0,52.88,57
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,46970,,11441.0,0.08,67
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,47554,,1029084.0,15.08,84
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,5400,37616,100.0,1137520.0,55.15,36
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,24196,,1031039.0,22.94,84
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,20671,99.0,628023.0,24.53,75
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,21600,55.0,523133.0,15.74,88
NonResidential,Worship Facility,SOUTHWEST,1.0,1.0,0,35844,4.0,1162519.0,8.1,38
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,31774,83.0,1703060.0,20.75,99
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,26094,7.0,678713.0,4.73,62
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,23687,86.0,571345.0,3.98,32
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,24221,11.0,1564180.0,10.9,32
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,2.0,3.0,0,34030,49.0,1757194.0,20.95,36
NonResidential,Restaurant,DOWNTOWN,1.0,2.0,0,40320,,3816695.0,119.01,113
NonResidential,Restaurant,DOWNTOWN,1.0,1.0,0,43728,,10721568.0,549.74,115
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,0,34455,48.0,4700396.0,32.77,115
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,2.0,0,32027,73.0,3158151.0,103.4,115
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3.0,0,32160,,2655658.0,18.51,109
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,7572,40264,,3428334.0,102.9,23
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3.0,0,34425,86.0,1958735.0,49.61,101
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,2.0,0,52609,66.0,1711397.0,40.81,44
NonResidential,Medical Office,SOUTHWEST,1.0,3.0,12000,28304,7.0,1916966.0,13.36,31
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,29619,80.0,734495.0,20.38,25
NonResidential,K-12 School,CENTRAL,1.0,2.0,0,21592,43.0,1545485.0,58.77,93
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,3.0,0,25200,50.0,1658751.0,33.34,108
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,1.0,0,45068,100.0,270004.0,8.29,68
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,0,28296,73.0,1489392.0,10.38,52
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,3.0,0,31357,56.0,1963054.0,22.82,16
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,160000,89.0,1476506.0,10.29,47
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,53550,15.0,3986851.0,141.32,55
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,38412,47.0,1689261.0,67.27,91
NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,1.0,0,25881,,537141.0,3.74,85
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,24291,85.0,664539.0,18.33,62
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,36544,4.0,1303247.0,9.09,49
NonResidential,K-12 School,NORTH,1.0,2.0,0,23923,72.0,872555.0,26.33,84
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20796,,1004779.0,34.66,66
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,21349,65.0,698177.0,17.53,68
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,38630,31.0,422133.0,2.94,79
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,24109,,4718442.0,32.89,55
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,25375,,3814590.0,26.59,60
Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22803,81.0,626612.0,14.6,30
Nonresidential COS,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,23100,,4185406.0,152.36,30
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,41550,99.0,448676.0,3.13,64
NonResidential,Other,GREATER DUWAMISH,1.0,2.0,0,54170,,5457975.0,159.89,21
