BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
NonResidential,Hotel,EAST,1.0,7.0,0,76631,24.0,7231928.0,255.64,107
NonResidential,Mixed Use Property,EAST,1.0,6.0,18493,169107,,15240688.0,444.42,32
NonResidential,Retail Store,LAKE UNION,1.0,2.0,0,58320,95.0,1074180.0,39.69,86
NonResidential,Large Office,LAKE UNION,1.0,5.0,0,316306,96.0,13300859.0,131.03,5
NonResidential,Hotel,LAKE UNION,1.0,7.0,44766,238097,40.0,18829136.0,509.18,25
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,129000,,29337400.0,760.51,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,91213,,5069854.0,123.28,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,5.0,0,396085,,27185096.0,900.81,77
NonResidential,Large Office,LAKE UNION,1.0,12.0,0,571329,89.0,41734776.0,636.96,5
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,49680,,2632472.0,96.39,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,60696,,924980.0,6.45,87
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,262048,,20828130.0,398.51,87
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,2352,63888,,4329966.0,30.19,29
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,6.0,303707,616891,93.0,36681188.0,634.03,5
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,25930,50283,72.0,3303553.0,45.83,45
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,6.0,36934,80804,52.0,5061274.0,138.68,13
NonResidential,Hotel,NORTHEAST,1.0,4.0,0,50017,51.0,5570472.0,196.34,53
SPS-District K-12,K-12 School,DELRIDGE,1.0,3.0,0,74468,85.0,1857329.0,25.2,16
NonResidential,K-12 School,EAST,1.0,3.0,0,67743,43.0,2303288.0,63.95,92
NonResidential,K-12 School,EAST,1.0,6.0,0,194104,100.0,5889882.0,229.98,107
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1.0,3.0,35752,63681,71.0,4439034.0,30.95,12
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,58933,71.0,2150120.0,14.99,24
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,1.0,0,130862,65.0,5851209.0,211.49,58
SPS-District K-12,K-12 School,SOUTHEAST,1.0,3.0,0,59955,94.0,1521329.0,15.1,26
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,93218,84.0,3072599.0,97.38,51
NonResidential,Other,NORTHEAST,1.0,4.0,0,56521,,6443260.0,44.92,74
NonResidential,Other,NORTHEAST,1.0,2.0,0,206934,,4461969.0,139.24,86
NonResidential,Hotel,NORTHWEST,1.0,4.0,0,51390,86.0,3864699.0,138.87,14
SPS-District K-12,K-12 School,NORTHWEST,1.0,2.0,0,131013,88.0,3939221.0,127.52,52
SPS-District K-12,K-12 School,NORTHWEST,1.0,1.0,0,245587,95.0,10444297.0,377.09,56
NonResidential,Hotel,NORTHWEST,1.0,3.0,0,69138,75.0,3298570.0,88.4,13
SPS-District K-12,K-12 School,LAKE UNION,1.0,3.0,0,66588,75.0,2033074.0,14.17,24
NonResidential,Hotel,DOWNTOWN,1.0,5.0,0,190980,97.0,6935723.0,150.23,111
Nonresidential COS,Other,DOWNTOWN,1.0,6.0,0,284100,,14169301.0,338.23,17
NonResidential,Hospital,BALLARD,1.0,5.0,0,285333,28.0,63362516.0,1874.42,61
SPS-District K-12,K-12 School,BALLARD,1.0,2.0,0,55513,91.0,1612965.0,11.24,24
Nonresidential COS,Other,DOWNTOWN,1.0,4.0,0,61156,,10434387.0,220.94,9
NonResidential,Other,DOWNTOWN,1.0,4.0,0,72820,,2076630.0,42.99,105
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,4.0,14200,148022,75.0,7753080.0,208.03,19
SPS-District K-12,K-12 School,SOUTHEAST,1.0,4.0,0,289588,92.0,8747819.0,181.93,25
NonResidential,College/University,EAST,1.0,3.0,0,63330,,2755578.0,60.35,100
Campus,College/University,DELRIDGE,1.0,2.0,0,441071,,37430780.0,839.79,45
NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,2.0,0,96300,,16238985.0,224.13,13
Nonresidential COS,Other,GREATER DUWAMISH,1.0,1.0,0,67356,,6577130.0,211.33,65
SPS-District K-12,K-12 School,CENTRAL,1.0,3.0,0,254523,62.0,13609040.0,366.61,7
SPS-District K-12,K-12 School,SOUTHEAST,1.0,3.0,0,78804,92.0,2447651.0,53.45,14
SPS-District K-12,K-12 School,CENTRAL,1.0,3.0,0,66994,83.0,2266570.0,39.29,13
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,3.0,0,98357,90.0,3265995.0,82.55,15
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,54765,,4316654.0,59.61,57
NonResidential,Other,GREATER DUWAMISH,1.0,5.0,0,89821,,2017694.0,104.17,6
NonResidential,College/University,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,52611,,4399828.0,105.32,35
SPS-District K-12,K-12 School,NORTH,1.0,2.0,0,236758,96.0,8050977.0,202.97,4
NonResidential,Other,CENTRAL,1.0,6.0,0,250981,,13901935.0,398.56,44
SPS-District K-12,K-12 School,NORTHWEST,1.0,3.0,0,62526,97.0,1841968.0,49.08,13
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3.0,0,64015,19.0,3349666.0,53.27,8
NonResidential,Retail Store,NORTH,1.0,1.0,0,530039,98.0,29067292.0,765.56,64
NonResidential,Other,NORTH,1.0,3.0,0,54224,,7613116.0,249.01,51
NonResidential,Retail Store,NORTH,1.0,4.0,0,124342,75.0,8835104.0,65.14,50
NonResidential,Hospital,NORTHEAST,1.0,10.0,0,879000,13.0,251191824.0,8046.7,62
NonResidential,Other,NORTHWEST,1.0,3.0,0,55442,74.0,3091559.0,80.49,19
SPS-District K-12,K-12 School,BALLARD,1.0,2.0,0,242795,82.0,8728584.0,119.09,16
NonResidential,Self-Storage Facility,EAST,1.0,5.0,0,84870,,1136698.0,40.35,105
Campus,College/University,NORTHWEST,11.0,2.0,111625,582447,,37117212.0,440.31,45
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,173185,72.0,6863464.0,282.34,63
SPS-District K-12,K-12 School,DELRIDGE,1.0,1.0,0,145341,77.0,4998015.0,177.1,52
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,0,114297,67.0,1738724.0,52.94,111
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,184125,89.0,8037287.0,294.12,55
SPS-District K-12,K-12 School,BALLARD,1.0,1.0,0,160270,79.0,5674450.0,212.02,56
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,234144,82.0,7370743.0,320.35,78
NonResidential,Retail Store,DELRIDGE,1.0,1.0,0,64984,76.0,2721646.0,32.75,49
NonResidential,Retail Store,DELRIDGE,1.0,1.0,0,67745,31.0,9560965.0,368.63,50
SPS-District K-12,K-12 School,DELRIDGE,1.0,2.0,0,367884,93.0,12263687.0,271.32,5
SPS-District K-12,K-12 School,DELRIDGE,1.0,1.0,0,46797,86.0,1911611.0,62.2,57
SPS-District K-12,K-12 School,CENTRAL,1.0,3.0,0,136188,67.0,5436057.0,178.5,52
NonResidential,Other,BALLARD,1.0,3.0,0,56000,,1755264.0,53.61,42
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,67371,92.0,2075833.0,42.8,11
NonResidential,Self-Storage Facility,SOUTHWEST,1.0,2.0,0,52088,,1186800.0,39.54,46
SPS-District K-12,K-12 School,LAKE UNION,1.0,3.0,0,127776,81.0,4213726.0,56.96,5
NonResidential,Hotel,LAKE UNION,1.0,5.0,30000,93920,82.0,8964061.0,289.43,17
Nonresidential COS,Other,LAKE UNION,1.0,1.0,0,58000,,7338511.0,221.62,115
Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,50292,,715446.0,4.99,89
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,7.0,54341,153315,77.0,10735331.0,314.26,17
SPS-District K-12,K-12 School,BALLARD,1.0,2.0,0,67235,85.0,2364351.0,44.06,16
Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1.0,2.0,0,85017,40.0,9146727.0,166.73,58
SPS-District K-12,K-12 School,SOUTHWEST,1.0,3.0,0,58118,97.0,1362993.0,17.86,24
NonResidential,Hotel,NORTHWEST,1.0,4.0,0,64893,73.0,6056481.0,206.3,47
SPS-District K-12,K-12 School,NORTH,1.0,2.0,0,52792,98.0,1227290.0,8.56,26
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,1.0,0,70762,95.0,2933003.0,138.96,90
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3.0,0,56456,83.0,1527917.0,26.55,115
NonResidential,Other,GREATER DUWAMISH,1.0,6.0,327680,1258280,,59991984.0,834.11,16
Nonresidential COS,Distribution Center,GREATER DUWAMISH,1.0,2.0,0,179161,,9974370.0,98.95,91
Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,2.0,0,50000,,4116805.0,28.7,50
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,0,1172127,,57514116.0,1236.93,16
NonResidential,Hotel,GREATER DUWAMISH,1.0,9.0,14567,153882,61.0,13116256.0,402.03,10
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,0,79600,55.0,1786986.0,12.46,99
SPS-District K-12,K-12 School,LAKE UNION,1.0,4.0,0,241066,74.0,7870351.0,263.53,18
Campus,Large Office,GREATER DUWAMISH,16.0,2.0,31874,302494,,52273792.0,706.26,35
NonResidential,Other,NORTH,1.0,6.0,335109,84739,,9477865.0,163.99,7
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4.0,39179,71606,,10608788.0,91.53,13
NonResidential,Hotel,DOWNTOWN,1.0,0.0,0,934292,,63811044.0,1558.85,16
NonResidential,Hospital,CENTRAL,1.0,5.0,0,597519,45.0,137635696.0,4725.43,25
SPS-District K-12,K-12 School,DELRIDGE,1.0,1.0,0,71714,89.0,2223321.0,30.27,16
NonResidential,Warehouse,LAKE UNION,1.0,3.0,8161,67236,91.0,516216.0,8.66,24
NonResidential,Hospital,EAST,1.0,8.0,0,1158691,30.0,295812640.0,10780.64,15
NonResidential,Senior Care Community,DOWNTOWN,1.0,5.0,12611,90185,,10620628.0,197.3,16
SPS-District K-12,K-12 School,SOUTHWEST,1.0,2.0,0,208981,84.0,7564604.0,175.9,13
NonResidential,K-12 School,NORTHEAST,1.0,2.0,0,55653,84.0,2003474.0,105.92,87
NonResidential,Hotel,NORTHEAST,1.0,16.0,0,106860,46.0,12087498.0,467.18,84
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,5.0,0,50759,63.0,3045139.0,43.78,43
NonResidential,Worship Facility,NORTHEAST,1.0,2.0,0,56772,49.0,2349950.0,80.79,63
NonResidential,Worship Facility,NORTHEAST,1.0,3.0,0,103000,40.0,4864408.0,144.53,63
SPS-District K-12,K-12 School,NORTHEAST,1.0,3.0,0,269297,79.0,10281586.0,192.09,9
SPS-District K-12,K-12 School,NORTHEAST,1.0,3.0,0,75174,80.0,2654755.0,68.3,14
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,75214,87.0,2295845.0,38.55,12
SPS-District K-12,K-12 School,SOUTHWEST,1.0,3.0,0,134918,92.0,3773040.0,65.33,10
SPS-District K-12,K-12 School,CENTRAL,1.0,2.0,0,64414,63.0,2414679.0,16.83,24
SPS-District K-12,K-12 School,NORTHWEST,1.0,3.0,0,92437,71.0,4986643.0,218.12,88
NonResidential,Other,DOWNTOWN,1.0,7.0,0,128766,,6550618.0,56.32,101
NonResidential,Other,DOWNTOWN,1.0,15.0,0,230880,,63668488.0,443.86,60
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,3.0,0,204961,94.0,7971886.0,202.07,8
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,76086,,2903161.0,80.75,42
NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,39000,151000,7.0,19816686.0,371.48,88
NonResidential,Hotel,DOWNTOWN,1.0,4.0,0,122309,13.0,24060332.0,977.73,54
Campus,Other,DOWNTOWN,4.0,3.0,0,215476,,25377650.0,659.56,20
NonResidential,Hotel,DOWNTOWN,1.0,8.0,38800,215473,23.0,27787286.0,798.63,12
Nonresidential COS,Other,DOWNTOWN,1.0,2.0,0,69400,,15671253.0,305.15,35
NonResidential,Other,DOWNTOWN,1.0,1.0,0,62900,,6366808.0,211.01,115
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,40000,98.0,1372706.0,45.32,101
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,0,203504,72.0,3780078.0,26.35,7
NonResidential,Large Office,DOWNTOWN,1.0,3.0,26731,74003,34.0,10273140.0,71.62,47
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,17570,62108,59.0,4829951.0,61.62,34
NonResidential,Large Office,DOWNTOWN,1.0,12.0,21790,212210,36.0,19176010.0,145.67,37
NonResidential,Retail Store,DOWNTOWN,1.0,4.0,0,111077,91.0,9898724.0,69.01,26
NonResidential,Large Office,DOWNTOWN,1.0,25.0,0,369996,71.0,24882924.0,173.47,26
NonResidential,Retail Store,DOWNTOWN,1.0,10.0,0,693450,92.0,40433292.0,392.65,90
NonResidential,Large Office,DOWNTOWN,1.0,33.0,0,791396,89.0,40451748.0,282.01,39
NonResidential,Large Office,DOWNTOWN,1.0,23.0,205076,542671,88.0,32141070.0,374.82,15
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,10.0,7757,55652,92.0,3137206.0,152.04,89
NonResidential,Large Office,DOWNTOWN,1.0,17.0,30000,174790,92.0,7546235.0,94.89,85
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,73399,63.0,3655453.0,25.48,99
NonResidential,Large Office,DOWNTOWN,1.0,20.0,32334,233517,95.0,12943756.0,509.69,46
NonResidential,Large Office,DOWNTOWN,1.0,25.0,228668,529375,96.0,24641772.0,198.93,6
NonResidential,Large Office,DOWNTOWN,1.0,12.0,0,206000,88.0,9273278.0,228.07,47
NonResidential,Large Office,DOWNTOWN,1.0,36.0,154972,669915,97.0,38400928.0,267.71,6
NonResidential,Large Office,DOWNTOWN,1.0,16.0,141600,339240,94.0,17653930.0,128.87,25
NonResidential,Other,DOWNTOWN,1.0,11.0,68432,230638,,61827040.0,1894.2,11
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,7.0,0,89550,81.0,4112006.0,50.6,115
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,0,89355,55.0,4742636.0,37.14,115
NonResidential,Large Office,DOWNTOWN,1.0,15.0,0,388934,84.0,20309614.0,208.81,93
NonResidential,Large Office,DOWNTOWN,1.0,22.0,0,384302,98.0,9861998.0,68.75,86
NonResidential,Large Office,DOWNTOWN,1.0,17.0,84600,293925,68.0,25476332.0,862.64,57
NonResidential,Large Office,DOWNTOWN,1.0,47.0,0,1323055,93.0,45074876.0,321.72,32
NonResidential,Large Office,DOWNTOWN,1.0,41.0,129432,460489,82.0,26208138.0,182.71,29
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,1392,89699,,2373031.0,58.99,65
NonResidential,Large Office,DOWNTOWN,1.0,8.0,62993,94948,89.0,3157579.0,22.01,47
NonResidential,Large Office,DOWNTOWN,1.0,29.0,197231,438072,97.0,18350766.0,139.34,24
NonResidential,Large Office,DOWNTOWN,1.0,6.0,25920,146922,,41092076.0,358.88,57
NonResidential,Large Office,DOWNTOWN,1.0,34.0,162604,614158,77.0,30135280.0,216.66,35
NonResidential,Large Office,DOWNTOWN,1.0,14.0,23775,162993,95.0,9700372.0,218.49,43
NonResidential,Large Office,DOWNTOWN,1.0,49.0,368980,754455,88.0,47148456.0,704.76,46
NonResidential,Large Office,DOWNTOWN,1.0,37.0,164420,888049,93.0,41655852.0,290.4,13
NonResidential,Large Office,DOWNTOWN,1.0,42.0,171500,446184,79.0,37527176.0,449.01,42
NonResidential,Large Office,DOWNTOWN,1.0,8.0,0,201480,88.0,9734582.0,180.89,108
Nonresidential COS,Large Office,DOWNTOWN,1.0,63.0,159600,1035787,82.0,64715652.0,452.16,25
Nonresidential COS,Large Office,DOWNTOWN,1.0,14.0,0,310490,,21781324.0,381.89,14
Nonresidential COS,Large Office,DOWNTOWN,1.0,8.0,30660,168870,70.0,13172813.0,300.3,12
NonResidential,Large Office,DOWNTOWN,1.0,13.0,52703,319539,98.0,15083332.0,234.15,9
NonResidential,Large Office,DOWNTOWN,1.0,7.0,8296,106099,98.0,3098638.0,69.18,106
NonResidential,Retail Store,NORTHEAST,1.0,2.0,0,89200,83.0,6289567.0,73.39,37
NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,5.0,0,99005,63.0,5814165.0,177.92,54
NonResidential,Large Office,NORTHEAST,1.0,6.0,44248,90803,92.0,4025787.0,28.07,13
NonResidential,Large Office,NORTHEAST,1.0,5.0,82720,137929,93.0,6299357.0,43.92,13
NonResidential,Self-Storage Facility,DOWNTOWN,1.0,5.0,0,93660,,836348.0,5.83,51
NonResidential,Large Office,DOWNTOWN,1.0,18.0,64660,349055,82.0,23179128.0,166.68,35
NonResidential,Large Office,DOWNTOWN,1.0,11.0,195621,185760,85.0,9796649.0,73.67,15
NonResidential,Large Office,DOWNTOWN,1.0,20.0,118744,378769,73.0,25909504.0,189.56,27
NonResidential,Large Office,DOWNTOWN,1.0,24.0,116721,427155,76.0,25840362.0,180.14,36
NonResidential,Mixed Use Property,DOWNTOWN,1.0,4.0,38700,65497,,7004126.0,76.13,35
NonResidential,Large Office,DOWNTOWN,1.0,6.0,124216,272410,66.0,20630168.0,143.82,33
NonResidential,Large Office,DOWNTOWN,1.0,6.0,83591,203880,80.0,13010612.0,129.21,13
NonResidential,Large Office,DOWNTOWN,1.0,3.0,48512,144118,,5240296.0,36.83,68
NonResidential,Large Office,DOWNTOWN,1.0,8.0,61986,191117,17.0,22388122.0,156.08,31
NonResidential,Supermarket/Grocery Store,NORTHWEST,1.0,1.0,0,60880,60.0,13320624.0,328.38,59
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,50176,,3033340.0,21.15,115
NonResidential,Large Office,DOWNTOWN,1.0,42.0,0,304346,82.0,19609472.0,597.76,103
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,128800,97.0,1869575.0,82.43,38
NonResidential,Large Office,DOWNTOWN,1.0,8.0,0,321945,79.0,12745839.0,266.18,88
NonResidential,Large Office,DOWNTOWN,1.0,22.0,0,336330,75.0,19854012.0,579.99,51
NonResidential,Large Office,DOWNTOWN,1.0,21.0,0,298426,68.0,30648154.0,1088.2,55
NonResidential,Large Office,DOWNTOWN,1.0,42.0,0,635824,56.0,56762408.0,395.71,39
NonResidential,Hotel,DOWNTOWN,1.0,12.0,0,542305,22.0,64547116.0,2937.83,92
NonResidential,Retail Store,SOUTHEAST,1.0,2.0,0,291940,84.0,11541355.0,147.77,35
